dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1874-07-01,23.974,1.022,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-08-01,23.546,1.145,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-09-01,24.491,0.924,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-10-01,25.103,1.304,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-11-01,25.643,1.32,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-12-01,25.781,1.356,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-01-01,25.566,1.213,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-02-01,26.84,1.018,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-03-01,27.147,0.931,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-04-01,26.767,0.929,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-05-01,25.889,0.809,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-06-01,24.916,0.893,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-07-01,23.711,1.3,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-08-01,23.32,0.989,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-09-01,23.907,0.823,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-10-01,24.725,0.874,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-11-01,25.026,0.788,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-12-01,25.16,1.11,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-01-01,25.608,1.357,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-02-01,26.391,1.608,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-03-01,27.006,1.453,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-04-01,26.385,2.202,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-05-01,25.593,0.871,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-06-01,24.919,1.183,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-07-01,23.705,1.64,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-08-01,23.015,1.583,Abidjan,Côte D'Ivoire,5.63N,3.23W
